,standard_deviation
Protein_PILRA,3.5730938224624733
Protein_HBA1,3.2880507962613454
Protein_PILRA.1,3.2412393982519574
Protein_SIGLEC9,3.1468457063160633
Protein_SIRPA,2.4747045555933536
Protein_AHSG,2.15925469911926
Protein_HP.1,2.0038682821503
Protein_OBP2B,1.9375437446978852
Protein_LRRN1,1.7835349038157486
Protein_HIST2H2BE,1.7256911816461775
Protein_F2.1,1.7053949361720173
Protein_IBSP.1,1.6004413617794575
Protein_ABO,1.5599183576483489
Protein_C1orf226,1.5564379917250453
Protein_FCGR2A,1.517919412411036
Protein_SETMAR,1.4878449213509648
Protein_LRPPRC.1,1.453689777991177
Protein_C3.3,1.4120010492141033
Protein_LTF.1,1.3785602845529195
Protein_CHIT1,1.3783537896262317
Protein_CPA4,1.3700677108374248
Protein_CST2,1.3601151982852466
Protein_GAPDH,1.3533466341647569
Protein_MYBPC1,1.352884145189438
Protein_MST1,1.3439613477143342
Protein_SEMA3E.1,1.3225094524097247
Protein_CD177,1.3154920863113253
Protein_ACTN2,1.2853731461796716
Protein_ALPL,1.2692690040873065
Protein_CTSL,1.2645692868340648
Protein_HP,1.258941579097069
Protein_PLXNB2,1.2423554814789433
Protein_CA3,1.2262538940207404
Protein_CRP,1.22480613792587
Protein_SFTPD,1.2218173138271349
Protein_PGAM1,1.203053250865879
Protein_SIGLEC14.1,1.2002800577048025
Protein_TGM3,1.1180556185722648
Protein_COL6A3,1.0961781780272035
Protein_HDHD2,1.0808592628472085
Protein_S100A13,1.0582750469499302
Protein_VTN,1.0532392072629628
Protein_CA1,1.0509471025268902
Protein_SEMA3E,1.0502875375867196
Protein_TBCA,1.0486011254206746
Protein_LBP,1.0460104163592294
Protein_RPL30,0.9821554456664014
Protein_CGA.2,0.9782452806734641
Protein_CGA.4,0.9679807852171659
Protein_CST1,0.9658743323721577
Protein_SERPINE2,0.9607059188270506
Protein_S100A7.1,0.9490883924085869
Protein_ZG16,0.9477477352622717
Protein_NQO1,0.9383678443590964
Protein_FGA,0.9372550837305738
Protein_NNMT,0.9297365038869891
Protein_MB,0.9262843685661083
Protein_FGF1,0.9254639548708575
Protein_PIGR,0.9179016532123423
Protein_FH,0.8931231011817042
Protein_TP53I11,0.8904909529146859
Protein_F2.2,0.8897785058347436
Protein_CHIT1.1,0.8897106411218096
Protein_MSMB,0.8811911968383183
Protein_GZMK,0.8765021846602044
Protein_IGHD,0.8756912039626938
Protein_EFCAB14.1,0.8743940795619285
Protein_CLEC12A,0.8590337262032672
Protein_WDR1,0.8554711560057253
Protein_PRL,0.8456803510230939
Protein_LRP1B.1,0.8421149658958891
Protein_VPS29,0.8364909177568183
Protein_LRTM1,0.8337283672148469
Protein_ACP1,0.8303698167432727
Protein_DEFB1,0.8279731818692069
Protein_CAT,0.8274244934375823
Protein_ADSSL1,0.8177661208764813
Protein_SIRPB1,0.8117435703034435
Protein_MMP12,0.8101696072897362
Protein_NAMPT,0.8007250185880488
Protein_TF,0.7996832953438694
Protein_CFP,0.7890090799782029
Protein_SMC3,0.7843351721378595
Protein_CXCL11,0.7807660466204089
Protein_IL18RAP,0.7779781656461059
Protein_CHGA.1,0.7736141384861779
Protein_SMIM24,0.7729702466550181
Protein_ZG16B,0.7688257737073406
Protein_SAA1,0.768315211810239
Protein_GNLY,0.7672604526374167
Protein_RECQL,0.7670124048909261
Protein_CD2,0.7668148918014036
Protein_QPCT,0.764920667042978
Protein_HIST1H3A,0.7622915145837749
Protein_CAP1,0.7609502807610611
Protein_ERAP2,0.7587859874998273
Protein_C5.1,0.7587471310677787
Protein_ATP5O,0.757677432684239
Protein_NMT1,0.755039104650694
Protein_C6orf58,0.7467891655353326
Protein_BIN1,0.7465818719073465
Protein_PROC.2,0.743371074525825
Protein_MICA,0.7413842189986919
Protein_LACRT,0.7408437712764782
Protein_PPBP,0.7394638003900715
Protein_C3.5,0.7384289340255313
Protein_FGF2,0.7371275982187185
Protein_MIF.1,0.7360886386636142
Protein_HNRNPDL,0.7355107572495084
Protein_LDHB,0.7347149227210545
Protein_ITIH2,0.7294771246448819
Protein_CFHR5.1,0.7282133709530689
Protein_HIST3H2A,0.7256634623058535
Protein_FBP2,0.7240786829579584
Protein_APOL1,0.7213738627642939
Protein_DDX39B,0.7204279932022492
Protein_ELANE,0.7177283283352638
Protein_C5orf38,0.7135958887025464
Protein_ACP7,0.7128417325587942
Protein_LAMC2,0.7115532267677063
Protein_PPBP.2,0.711526708806805
Protein_C4A,0.71140061171108
Protein_ALB,0.7063979324345413
Protein_C6,0.705307553711989
Protein_C14orf93,0.704649372163908
Protein_CCT5,0.7044719083974796
Protein_GUCY2C,0.701420238622531
Protein_IGHG1,0.6987342256754006
Protein_TNFRSF25,0.6983516193600983
Protein_BIRC2,0.6924701921061167
Protein_JAML.1,0.6922521676830031
Protein_RTN4,0.6872517527547116
Protein_ITIH4,0.6841505082374859
Protein_ENO2.1,0.6840870039043039
Protein_HRG,0.6836140905278999
Protein_PSMA7,0.6832225857865493
Protein_RRM1,0.6799807102698091
Protein_FAM159B.1,0.6790553192855028
Protein_ITIH1,0.6785327858678191
Protein_C9.1,0.6780062139525924
Protein_GNLY.1,0.6756398140448543
Protein_GNAI3,0.675637019822373
Protein_CXCL10,0.6749499190816217
Protein_HTN3,0.673646366953999
Protein_CCK,0.6734422822829559
Protein_ERAP1,0.6724806039603244
Protein_DLD,0.6711051917963053
Protein_RPS4X,0.6710372139567888
Protein_PLBD1,0.6706289472213501
Protein_ARL2,0.6706256138116865
Protein_CCL5.1,0.6690624218556932
Protein_KLK5.1,0.6669304560660966
Protein_HAMP,0.6660625867654638
Protein_IL1RL1,0.6648377150563785
Protein_PLA2G2A,0.6643945875513451
Protein_C3.1,0.663618194889657
Protein_C9,0.6632115538101155
Protein_SHH,0.6623062309360859
Protein_AMHR2,0.6618187660819388
Protein_ABHD14A,0.6616123733357233
Protein_DSG2,0.6613350617534078
Protein_IGHG1.1,0.66019593425112
Protein_PF4,0.6580569682027806
Protein_KLK11,0.6544923315427892
Protein_SLAMF7,0.6542692847252493
Protein_UBA2,0.6523582750256673
Protein_SCGB3A1,0.6517798236376592
Protein_SPINK6,0.651725295811275
Protein_THPO,0.6514324279555272
Protein_TDGF1,0.650553802891267
Protein_POSTN,0.6503302112071856
Protein_CTRB1,0.6499354516415694
Protein_CHGA,0.6487053318569643
Protein_C9.2,0.6477044197023606
Protein_APOA1,0.6424188578463216
Protein_HTR7,0.6415167905645964
Protein_CGA.1,0.6410123783014022
Protein_AP1G2,0.6397002168669875
Protein_KLK11.1,0.6392116985905394
Protein_RPN1.1,0.6389117302699159
Protein_CST5.1,0.6383228639251893
Protein_DARS2,0.6328121937153227
Protein_DBNL.1,0.631458141931733
Protein_ITGA1,0.6311364066001957
Protein_CKB,0.6310614151269003
Protein_HGFAC.1,0.6294191357605231
Protein_FABP4,0.6271173324153034
Protein_IL17B,0.6263856707500518
Protein_POSTN.3,0.6245703335223396
Protein_GLB1,0.6226799216194664
Protein_AFM,0.6224478322567994
Protein_C1QA,0.6214394155731572
Protein_DPP7.1,0.6213156383047188
Protein_CEL,0.6209298251871171
Protein_LILRA3,0.6206137367527474
Protein_TFAM,0.6204138308395286
Protein_FCER2,0.6197544941324921
Protein_CD27,0.6176743455630485
Protein_DKK1,0.6175575584463667
Protein_PI3,0.617182854707152
Protein_CCL18,0.6165626682934451
Protein_AMY1A,0.6164766470973466
Protein_HAPLN1,0.6158430533344527
Protein_HMGB1,0.6154779791137225
Protein_GP5,0.6151744876243792
Protein_APCS,0.6134406705124176
Protein_HNRNPA1,0.613309092939451
Protein_PDGFRB,0.612793245871825
Protein_FGG,0.6112288808442842
Protein_IGHA1,0.6110239872434058
Protein_ADAMTS6,0.6108575733782659
Protein_CCL16,0.6091735754409866
Protein_PLD3,0.608748173160708
Protein_PDXP,0.608091185788441
Protein_ASPRV1,0.6062843566410939
Protein_TPSB2.2,0.604925223086434
Protein_TYMS,0.6047796154775089
Protein_APOM,0.6014725050413708
Protein_MAP2K4,0.6005467415849823
Protein_IGFALS,0.600470157928542
Protein_TAGLN,0.600422927281725
Protein_FETUB,0.5989048819162136
Protein_FCGR2B,0.5988442599705268
Protein_CCT8,0.5986173790422425
Protein_C3.4,0.5982258775467061
Protein_LANCL2,0.5981599092318948
Protein_CHI3L1,0.5970155560699711
Protein_WISP1,0.59677826776547
Protein_A2M,0.5943636238451279
Protein_SOCS3,0.5928746737652304
Protein_IGHE,0.5927060333595856
Protein_TRA2B,0.5922025633981275
Protein_BPIFB1,0.5920468745564462
Protein_STAT1.1,0.5916455110146887
Protein_GAA,0.5913258106720001
Protein_TMEM132D,0.5909349159201207
Protein_PRL.1,0.5908496764675933
Protein_KLKB1,0.5899081917207584
Protein_DNASE1L2,0.5899051530777336
Protein_KCNIP4,0.5893495623564812
Protein_HNRNPA2B1,0.5880119559968455
Protein_OLFM1,0.5870574450589968
Protein_ISM2,0.5861195692759962
Protein_TMOD1,0.584190569379517
Protein_TAPBPL,0.5827362461518057
Protein_TRABD,0.5811621627006116
Protein_NAAA,0.5795403992890884
Protein_CXCL13.1,0.5792380885500162
Protein_ACAN,0.5788386760576725
Protein_GPNMB.1,0.5787802614034127
Protein_SERPINA4,0.5778190480059031
Protein_CCL14,0.5775156406233382
Protein_FGA.1,0.5769390592851584
Protein_ACP6,0.5765742314299964
Protein_CD79A,0.5763090137872876
Protein_GSK3A,0.5761904373642623
Protein_PGD,0.5761867517817159
Protein_UMOD,0.5756501133268952
Protein_DPYSL3,0.5754209801341892
Protein_COLEC11,0.5754200703599478
Protein_NPW,0.5749422544918974
Protein_COCH,0.5745899788554668
Protein_LRFN2,0.5740746373646377
Protein_C3,0.5737755557086298
Protein_NQO2,0.5730561698712714
Protein_NEK7,0.5712548484357208
Protein_ENPP5,0.5708623087241299
Protein_MGP,0.5706352415071532
Protein_CRYZL1,0.5700684321347884
Protein_APOB,0.5682335382847036
Protein_SERPINA4.1,0.5672425125888544
Protein_APOE,0.5671872331660993
Protein_BMP15,0.5660563327814033
Protein_CTSH.3,0.5657188658201796
Protein_APEX1,0.5654508363960564
Protein_KCNE5,0.56474076981847
Protein_YBX2,0.5640409805732812
Protein_HLA-DQA2,0.5639974218504987
Protein_C5,0.5634574103265882
Protein_CTF1,0.5628622699196371
Protein_CD300C,0.5607271045699282
Protein_CECR1,0.5595715769911099
Protein_C3.2,0.559273976186605
Protein_TPM4,0.5591091781466387
Protein_SERPINA7,0.5573672819458153
Protein_CPB2,0.5565291933535912
Protein_DEFB4A,0.5559851962927953
Protein_APOM.1,0.5554397552736466
Protein_EVI2B,0.5552536226808078
Protein_LINGO1,0.5552349504794083
Protein_SFRP1.1,0.5551843251959931
Protein_WIF1,0.5550097643757138
Protein_SCGB1C2,0.5543723275916785
Protein_DDX6,0.5539373567826158
Protein_RNASE1,0.5536695048328252
Protein_PARVA,0.5529153236665029
Protein_CFB,0.552852340092135
Protein_TNNT2,0.5518730040532409
Protein_IL1A,0.551001232659669
Protein_NOTCH2.2,0.5489077579013018
Protein_MMP7,0.5488562827694545
Protein_MMP3,0.5484775079012326
Protein_SLITRK3,0.5463782398913757
Protein_TMEM132B,0.5458475986362572
Protein_IGHA1.1,0.5455269284497513
Protein_HGFAC,0.5449183181086623
Protein_SHMT2,0.5443504902429719
Protein_PRSS1,0.544189006475804
Protein_MBL2,0.5436583514312767
Protein_APOH,0.5436338506726848
Protein_LGMN.1,0.5426925503840554
Protein_GPD1,0.5423906457959687
Protein_FABP1,0.5407064018558014
Protein_SERPINC1,0.5404976352867925
Protein_DKK4,0.5403327120401794
Protein_TFF2.1,0.5400083543030842
Protein_AMBN,0.5396010240632683
Protein_KMT2C,0.5389944851280263
Protein_MAN2B2,0.5388653867050397
Protein_IGHM,0.5380988121934003
Protein_UCMA,0.5378532530036664
Protein_NBL1,0.5368462647567773
Protein_KNG1,0.5364457965485483
Protein_CBLN4,0.536124330821194
Protein_PGLYRP2,0.5359988120267472
Protein_EBI3,0.5359395098284462
Protein_CBR3,0.5351605425332431
Protein_LCN2,0.5351465581499487
Protein_SERPINA5,0.5345634002528149
Protein_VWF,0.5338822206904851
Protein_NLGN3,0.5334079466147026
Protein_IGFL4,0.5330883184291377
Protein_HNF4A,0.530807249730389
Protein_F2,0.5307173327865116
Protein_NEFL,0.5305657390777264
Protein_PCSK1,0.529542652275381
Protein_SNN,0.5280682569389936
Protein_TST,0.5279443461772813
Protein_ARPC1B,0.527689639091543
Protein_CD33,0.5274359905294296
Protein_CTSH.1,0.5267553041527876
Protein_LDHA,0.5266463176957834
Protein_CXCL13,0.5264176307175393
Protein_PREP,0.5261223685373827
Protein_MSMP,0.5256130802118731
Protein_EIF2AK4,0.5254198820414049
Protein_IFI16.1,0.5250702494529669
Protein_NPTX2,0.5247924457368588
Protein_KNG1.1,0.5243542698732024
Protein_LILRB1,0.524048803769483
Protein_TNFSF8,0.5235351274046856
Protein_FTH1,0.5223005544543111
Protein_PLEK,0.5209466205666611
Protein_AXL,0.5208182898081005
Protein_HPX,0.5201445901519435
Protein_ISLR2.1,0.5191457402639009
Protein_FCN2,0.5190499099037801
Protein_C4BPA,0.5189103274372407
Protein_EIF5A,0.5177083430543353
Protein_RPS27A.1,0.5176721443368507
Protein_REG1A,0.5167215527092631
Protein_CRABP1,0.5161066936267306
Protein_KLK3,0.5132053515963887
Protein_HSPD1,0.5129132344091063
Protein_CPNE1.1,0.5128866606877348
Protein_NEFH,0.5128740529539516
Protein_CYTL1,0.5126135892535184
Protein_PIP4K2A,0.511867362711575
Protein_ANGPTL3,0.5118038828577985
Protein_PAK6,0.5114444872182781
Protein_WSCD2,0.511283500437267
Protein_XCL1,0.5103888218239243
Protein_BPGM,0.5101157985441056
Protein_SERPINA3.1,0.5100972622484352
Protein_EPYC,0.5095729152334127
Protein_NLGN2.1,0.5091288786786959
Protein_KIF1BP,0.5086789915911866
Protein_EPB41,0.5081232594521538
Protein_PRSS22,0.507357414497349
Protein_CPXM1,0.5073068912895684
Protein_FAM3B,0.5071354056264025
Protein_LEP.1,0.5061123834852495
Protein_LCT,0.5061078414072848
Protein_MZB1,0.5054165825485992
Protein_PGF,0.5054118894907409
Protein_WISP2,0.5051214640520133
Protein_KIAA1549L,0.5048489016742851
Protein_ERH,0.5047452014319499
Protein_RAN,0.5043003470675037
Protein_CBLN1,0.503706423679
Protein_ADH5,0.5016580738331362
Protein_UST,0.5016095005601363
Protein_MFGE8,0.5008541475500957
Protein_CPZ,0.49938237985071415
Protein_EPHB6,0.4986655850947366
Protein_GZMA.1,0.4984863171116245
Protein_NLGN4X,0.4975426512863223
Protein_PSMB5,0.4973908577238633
Protein_DDR2.1,0.4966228296805584
Protein_GPNMB,0.49646112544868054
Protein_RARRES1,0.4960675348175997
Protein_ENPP7,0.49599535355906493
Protein_FAM19A1,0.4956891997011138
Protein_GDA,0.495454162229313
Protein_TAC1.1,0.4951568993264044
Protein_FAM171B.2,0.49506182153879114
Protein_ANXA2,0.49424776160951117
Protein_PRSS2,0.4931574224580277
Protein_CTAG1A,0.49291809893089455
Protein_F9,0.49254639434877606
Protein_IL13,0.4924803648694192
Protein_BAGE2,0.49053739453845724
Protein_CCL19,0.4898992599355869
Protein_GRIA4,0.4883053135800925
Protein_RCN1,0.4882571495045701
Protein_SPINT2,0.48750728677422084
Protein_CCL8,0.48748325024539574
Protein_GDF15,0.48740931226095024
Protein_TNFRSF10D,0.48727790194248366
Protein_CPB1,0.48707462748012476
Protein_KRT1,0.48693858386240824
Protein_GFRA2,0.48655297444693163
Protein_CDC42,0.4863178611321797
Protein_PENK,0.4861624960319401
Protein_RMDN1,0.485963850660128
Protein_STOX1,0.4859041100174527
Protein_SHBG,0.4857961006086526
Protein_IL6.1,0.48558293601244334
Protein_MMRN2,0.48548163797653915
Protein_CILP,0.4847871655326541
Protein_F13B,0.48461718893853056
Protein_TMPO,0.4845502387618479
Protein_FAM171B.1,0.484475352153146
Protein_RNASE6,0.4841569646511051
Protein_PCDHA7,0.4814671887185005
Protein_DDR1.2,0.48054623733700874
Protein_CA6.1,0.4790650040992717
Protein_SORCS2,0.47881166518616797
Protein_LYZ,0.4785451133075323
Protein_C4A.1,0.4776999383997769
Protein_SLITRK1,0.47760310138321815
Protein_AKR7A2,0.47709877273216883
Protein_LILRB5,0.47658433430291286
Protein_NRXN1,0.4765144572565842
Protein_CACNA2D3,0.47609669086352085
Protein_FGFBP3,0.47598995828808516
Protein_LRPAP1,0.4756794644706409
Protein_SPRN,0.4753944367599407
Protein_MPO,0.47537185996219894
Protein_LILRA6,0.4753553018356667
Protein_C12orf10,0.4746910846432675
Protein_C1R,0.474007359296378
Protein_CD36,0.47394107807082025
Protein_PSAPL1,0.4736758068047651
Protein_MRPL14,0.4729420775564996
Protein_CHST15.1,0.47290996344328207
Protein_UNC5D.1,0.47270481654484914
Protein_TPSB2.1,0.47206429047728443
Protein_FAM3B.1,0.47188413357904463
Protein_MAPK3,0.4714989535787519
Protein_ANXA2.1,0.47144395753019386
Protein_PCSK9.1,0.4712149552776236
Protein_EPDR1,0.47106165152187646
Protein_S100A6,0.47024086599117126
